# §35 full grid (E67 rev: full-bridge tanks, LOW/HIGH mode edge at 500 V, PSM at f_max, line-tracking bus floor), averaged fidelity; PASS = Tj<=150, Ip_rms<=tank class (78/100/120 A rms), fn in [0.45,1.45], eta floor
sku,Vin,Vout,load,temp,mode,ctl,Pout_W,bus_V,fn,Ip_rms_A,Iline_A,eta_pct,Tj_pfc_C,Tj_llc_C,PASS,notes,Tj_jbs_C,Woff_pos_W,Itoff_A
30kw,285,150,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,150,0,room,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,150,0,hot,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,150,0.05,cold,PAR,PSM,750,650,1.45,5.5,1.6,84,10,34,PASS,,10,3.9,8.7
30kw,285,150,0.05,room,PAR,PSM,750,650,1.45,5.5,1.6,84,45,69,PASS,,45,3.9,8.7
30kw,285,150,0.05,hot,PAR,PSM,750,650,1.45,5.5,1.6,83.99,74,98,PASS,,74,3.9,8.7
30kw,285,150,0.1,cold,PAR,PSM,1500,650,1.45,7.3,3.2,90.07,11,34,PASS,,11,5.3,11.7
30kw,285,150,0.1,room,PAR,PSM,1500,650,1.45,7.3,3.2,90.07,46,69,PASS,,46,5.3,11.7
30kw,285,150,0.1,hot,PAR,PSM,1500,650,1.45,7.3,3.2,90.07,75,98,PASS,,75,5.3,11.7
30kw,285,150,0.25,cold,PAR,PSM,3750,650,1.45,14.9,7.9,93.75,12,36,PASS,,13,10.7,23.9
30kw,285,150,0.25,room,PAR,PSM,3750,650,1.45,14.9,7.9,93.74,47,71,PASS,,48,10.7,23.9
30kw,285,150,0.25,hot,PAR,PSM,3750,650,1.45,14.9,7.9,93.73,76,100,PASS,,77,10.7,23.9
30kw,285,150,0.5,cold,PAR,PSM,7500,650,1.45,28.7,15.8,94.44,15,41,PASS,,16,20.6,46
30kw,285,150,0.5,room,PAR,PSM,7500,650,1.45,28.7,15.8,94.42,50,78,PASS,,51,20.6,46
30kw,285,150,0.5,hot,PAR,PSM,7500,650,1.45,28.7,15.8,94.4,79,107,PASS,,80,20.6,46
30kw,285,150,0.75,cold,PAR,PSM,11250,650,1.45,42.8,23.7,94.21,19,53,PASS,,21,30.7,68.4
30kw,285,150,0.75,room,PAR,PSM,11250,650,1.45,42.8,23.7,94.17,54,91,PASS,,56,30.7,68.4
30kw,285,150,0.75,hot,PAR,PSM,11250,650,1.45,42.8,23.7,94.15,84,122,PASS,,85,30.7,68.4
30kw,285,150,1,cold,PAR,PSM,15000,650,1.45,56.9,31.6,93.74,24,79,PASS,,26,40.8,91
30kw,285,150,1,room,PAR,PSM,15000,650,1.45,56.9,31.6,93.7,60,119,PASS,,61,40.8,91
30kw,285,150,1,hot,PAR,PSM,15000,650,1.45,52.9,31.6,93.71,89,142,PASS,thermal derate to 93% ,89,38,84.7
30kw,285,200,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,200,0,room,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,200,0,hot,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,200,0.05,cold,PAR,PSM,1000,650,1.45,6.8,2.1,91.43,10,14,PASS,,10,4.9,10.9
30kw,285,200,0.05,room,PAR,PSM,1000,650,1.45,6.8,2.1,91.42,45,49,PASS,,45,4.9,10.9
30kw,285,200,0.05,hot,PAR,PSM,1000,650,1.45,6.8,2.1,91.42,74,78,PASS,,74,4.9,10.9
30kw,285,200,0.1,cold,PAR,PSM,2000,650,1.45,8.4,4.2,94.48,11,15,PASS,,11,6,13.5
30kw,285,200,0.1,room,PAR,PSM,2000,650,1.45,8.4,4.2,94.47,46,51,PASS,,46,6,13.5
30kw,285,200,0.1,hot,PAR,PSM,2000,650,1.45,8.4,4.2,94.47,75,80,PASS,,75,6,13.5
30kw,285,200,0.25,cold,PAR,PSM,5000,650,1.45,15.5,10.5,96.03,13,21,PASS,,13,11.1,24.8
30kw,285,200,0.25,room,PAR,PSM,5000,650,1.45,15.5,10.5,96.02,48,56,PASS,,48,11.1,24.8
30kw,285,200,0.25,hot,PAR,PSM,5000,650,1.45,15.5,10.5,96,77,86,PASS,,77,11.1,24.8
30kw,285,200,0.5,cold,PAR,PSM,10000,650,1.45,29,21.1,96.02,17,35,PASS,,16,20.8,46.4
30kw,285,200,0.5,room,PAR,PSM,10000,650,1.45,29,21.1,95.99,53,71,PASS,,51,20.8,46.4
30kw,285,200,0.5,hot,PAR,PSM,10000,650,1.45,29,21.1,95.97,82,101,PASS,,80,20.8,46.4
30kw,285,200,0.75,cold,PAR,PSM,15000,650,1.45,43,31.6,95.59,24,54,PASS,,21,30.8,68.8
30kw,285,200,0.75,room,PAR,PSM,15000,650,1.45,43,31.6,95.55,60,91,PASS,,56,30.8,68.8
30kw,285,200,0.75,hot,PAR,PSM,15000,650,1.45,43,31.6,95.51,89,122,PASS,,85,30.8,68.8
30kw,285,200,1,cold,PAR,PSM,20000,650,1.45,57,42.2,95.07,31,79,PASS,,26,40.9,91.2
30kw,285,200,1,room,PAR,PSM,20000,650,1.45,57,42.2,95,68,119,PASS,,61,40.9,91.2
30kw,285,200,1,hot,PAR,PSM,20000,650,1.45,53.1,42.2,94.99,99,143,PASS,thermal derate to 93% ,89,38.1,84.9
30kw,285,250,0,cold,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,250,0,room,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,250,0,hot,PAR,IDLE,0,650,,0,0,,,,PASS,standby
30kw,285,250,0.05,cold,PAR,PSM,1250,650,1.45,8.3,2.6,92.83,11,15,PASS,,10,5.9,13.2
30kw,285,250,0.05,room,PAR,PSM,1250,650,1.45,8.3,2.6,92.82,46,50,PASS,,45,5.9,13.2
30kw,285,250,0.05,hot,PAR,PSM,1250,650,1.45,8.3,2.6,92.82,75,80,PASS,,74,5.9,13.2
30kw,285,250,0.1,cold,PAR,PSM,2500,650,1.45,9.6,5.3,95.4,11,16,PASS,,11,6.9,15.4
30kw,285,250,0.1,room,PAR,PSM,2500,650,1.45,9.6,5.3,95.39,46,51,PASS,,46,6.9,15.4
30kw,285,250,0.1,hot,PAR,PSM,2500,650,1.45,9.6,5.3,95.38,75,81,PASS,,75,6.9,15.4
30kw,285,250,0.25,cold,PAR,PSM,6250,650,1.45,16.2,13.2,96.65,14,22,PASS,,13,11.6,25.9
30kw,285,250,0.25,room,PAR,PSM,6250,650,1.45,16.2,13.2,96.63,49,57,PASS,,48,11.6,25.9
30kw,285,250,0.25,hot,PAR,PSM,6250,650,1.45,16.2,13.2,96.62,78,86,PASS,,77,11.6,25.9
30kw,285,250,0.5,cold,PAR,PSM,12500,650,1.45,29.4,26.4,96.56,20,35,PASS,,16,21.1,47
30kw,285,250,0.5,room,PAR,PSM,12500,650,1.45,29.4,26.4,96.53,56,71,PASS,,51,21.1,47
30kw,285,250,0.5,hot,PAR,PSM,12500,650,1.45,29.4,26.4,96.49,86,101,PASS,,80,21.1,47
30kw,285,250,0.75,cold,PAR,PSM,18750,650,1.45,43.2,39.6,96.13,29,54,PASS,,21,31,69.2
30kw,285,250,0.75,room,PAR,PSM,18750,650,1.45,43.2,39.6,96.07,66,92,PASS,,56,31,69.2
30kw,285,250,0.75,hot,PAR,PSM,18750,650,1.45,43.2,39.6,96.02,96,123,PASS,,85,31,69.2
30kw,285,250,1,cold,PAR,PFM,25000,650,1.443,57.2,52.7,95.44,41,73,PASS,,26,33.9,76
